unit_id,retention_fulltime,student_faculty_ratio,applicants,admitted,enrolled_total,enrolled_fulltime,sat_submission_pct,act_submission_pct,religious_affiliation,study_abroad,evening_weekend,undergrad_research,disability_pct,pell_grant_pct,pell_grant_avg,institutional_grant_pct,institutional_grant_avg,loan_pct,loan_avg,any_aid_pct,tuition_fees,coa_instate_oncampus,coa_outofstate_oncampus,control_3,control_4
225627,71.0,12.0,11316,11105.0,1016.0,1013.0,0.0,0.0,1,1,1,0,5.5,57.0,5492.0,100.0,19167.0,94.0,6831.0,100.0,37090,56078.0,56078.0,0,1
226091,62.0,20.0,8990,7768.0,1703.0,1609.0,43.0,8.0,0,1,1,0,6.57,56.0,6136.0,67.0,6685.0,44.0,5943.0,93.0,8905,25709.0,35549.0,0,0
226152,78.0,21.0,8499,3771.0,1363.0,1345.0,51.0,6.0,0,1,0,0,0.0,73.0,6306.0,52.0,5195.0,13.0,4431.0,99.0,7894,22762.0,34322.0,0,0
226231,81.0,11.0,3673,1396.0,311.0,300.0,96.0,58.0,1,1,1,0,0.0,24.0,5580.0,98.0,18946.0,55.0,9812.0,99.0,37160,54388.0,54388.0,0,1
226383,70.0,11.0,1669,1220.0,316.0,316.0,30.0,18.0,1,1,0,1,19.5,40.0,6004.0,99.0,13528.0,79.0,7424.0,100.0,28540,45980.0,45980.0,0,1
226471,62.0,17.0,13004,12452.0,687.0,683.0,39.0,14.0,1,1,1,0,13.45,49.0,5368.0,53.0,26506.0,67.0,7157.0,99.0,32020,51454.0,51454.0,0,1
226587,64.0,16.0,4837,2759.0,331.0,331.0,12.0,7.0,1,1,0,0,0.0,59.0,5870.0,98.0,17012.0,74.0,6817.0,99.0,32340,46908.0,46908.0,0,1
226833,64.0,18.0,7803,7297.0,944.0,926.0,0.0,0.0,0,1,0,1,0.0,58.0,5881.0,68.0,6211.0,51.0,5827.0,96.0,10580,26340.0,28290.0,0,0
227216,77.0,25.0,38477,27793.0,6730.0,6558.0,43.0,9.0,0,1,0,0,6.4,45.0,5759.0,70.0,5582.0,44.0,6248.0,90.0,11309,27711.0,37551.0,0,0
227368,81.0,20.0,18377,17310.0,7013.0,5491.0,27.0,23.0,0,1,1,1,0.0,76.0,6718.0,55.0,3275.0,14.0,3905.0,95.0,9987,24883.0,34723.0,0,0
227429,49.0,20.0,3088,1244.0,169.0,140.0,0.0,0.0,1,1,1,0,0.0,84.0,7726.0,88.0,2123.0,84.0,6786.0,100.0,13498,25348.0,25348.0,0,1
227526,76.0,17.0,12936,10259.0,1885.0,1822.0,63.0,16.0,0,1,1,0,0.0,70.0,5827.0,52.0,7424.0,68.0,6304.0,88.0,11299,27798.0,43373.0,0,0
227757,97.0,6.0,32473,2597.0,1148.0,1148.0,48.0,22.0,0,1,1,1,10.43,18.0,6321.0,56.0,53802.0,7.0,10792.0,64.0,64144,87824.0,87824.0,1,0
227845,80.0,12.0,5830,4747.0,453.0,453.0,18.0,4.0,1,1,1,1,12.89,48.0,5958.0,97.0,32790.0,51.0,8139.0,98.0,51384,71334.0,71334.0,0,1
227863,78.0,16.0,2878,2588.0,769.0,754.0,31.0,3.0,1,1,1,1,14.0,58.0,6178.0,89.0,18834.0,31.0,5933.0,94.0,34634,50414.0,50414.0,0,1
227881,73.0,19.0,17179,15506.0,3270.0,3171.0,52.0,6.0,0,1,1,1,6.03,50.0,5813.0,8.0,5337.0,54.0,5704.0,85.0,9228,26194.0,36034.0,0,0
228042,67.0,13.0,2475,2183.0,326.0,322.0,0.0,0.0,1,1,0,1,3.39,48.0,5726.0,99.0,20161.0,73.0,12130.0,100.0,39266,52114.0,52114.0,0,1
228149,73.0,11.0,4724,4618.0,583.0,579.0,41.0,11.0,1,1,0,0,5.78,50.0,5530.0,98.0,22507.0,58.0,7821.0,100.0,37434,54728.0,54728.0,0,1
228246,91.0,11.0,15245,9657.0,1716.0,1715.0,16.0,9.0,1,1,1,1,13.45,13.0,5755.0,67.0,35554.0,26.0,13116.0,71.0,67040,89602.0,89602.0,0,1
228325,75.0,15.0,656,584.0,332.0,329.0,99.0,1.0,1,0,0,0,0.0,50.0,5559.0,87.0,8064.0,65.0,6755.0,99.0,25064,42412.0,42412.0,0,1
